transaction_id,description,amount,currency,transaction_date,reference,transaction_type
BANK001,ABC PRIVATE LIMITED PAYMENT REF001,24000,INR,2026-08-04,REF001,CREDIT
BANK002,RAVI ENTERPRISES PRIVATE LIMITED PAYMENT REF002,48000,INR,2026-08-05,REF002,CREDIT
BANK003,APEX GLOBAL TECHNOLOGIES PVT LTD PAYMENT REF003,24000,INR,2026-08-14,REF003,CREDIT
BANK004,ZENITH LOGISTICS SOLUTIONS LIMITED PAYMENT REF004,24000,INR,2026-08-12,REF004,CREDIT
BANK005,TATA CONSULTANCY SERVICES LIMITED PAYMENT REF005,12500,INR,2026-08-03,REF005,CREDIT
BANK006,INFOSYS BPM PRIVATE LIMITED PAYMENT REF006,150000,INR,2026-08-11,REF006,CREDIT
BANK007,RELIANCE RETAIL VENTURES LIMITED PAYMENT REF007,48000,INR,2026-08-15,REF007,CREDIT
BANK008,MAHINDRA LOGISTICS SOLUTIONS LTD PAYMENT REF008,150000,INR,2026-08-08,REF008,CREDIT
BANK009,LARSEN AND TOUBRO INFOTECH LTD PAYMENT REF009,225000,INR,2026-08-06,REF009,CREDIT
BANK010,WIPRO DIGITAL SOLUTIONS PVT LTD PAYMENT REF010,89000,INR,2026-08-08,REF010,CREDIT
BANK011,HCL TECHNOLOGIES INDIA PVT LTD PAYMENT REF011,48000,INR,2026-08-15,REF011,CREDIT
BANK012,BHARAT HEAVY ELECTRICALS LIMITED PAYMENT REF012,24000,INR,2026-08-08,REF012,CREDIT
BANK013,SUN PHARMACEUTICAL INDUSTRIES LTD PAYMENT REF013,75000,INR,2026-08-12,REF013,CREDIT
BANK014,GODREJ CONSUMER PRODUCTS LIMITED PAYMENT REF014,115000,INR,2026-08-10,REF014,CREDIT
BANK015,ADANI PORTS AND SEZ PRIVATE LIMITED PAYMENT REF015,24000,INR,2026-08-11,REF015,CREDIT
BANK016,BAJAJ FINSERV DIRECT LIMITED PAYMENT REF016,225000,INR,2026-08-17,REF016,CREDIT
BANK017,TECH MAHINDRA SOLUTIONS LIMITED PAYMENT REF017,48000,INR,2026-08-13,REF017,CREDIT
BANK018,ZOMATO MEDIA PRIVATE LIMITED PAYMENT REF018,48000,INR,2026-08-15,REF018,CREDIT
BANK019,SWIGGY BUNDL TECHNOLOGIES PVT LTD PAYMENT REF019,48000,INR,2026-08-15,REF019,CREDIT
BANK020,FLIPKART INTERNET PRIVATE LIMITED PAYMENT REF020,62000,INR,2026-08-11,REF020,CREDIT
BANK021,ONE97 COMMUNICATIONS LIMITED PAYMENT REF021,35000,INR,2026-08-08,REF021,CREDIT
BANK022,NYKAA E-RETAIL PRIVATE LIMITED PAYMENT REF022,62000,INR,2026-08-15,REF022,CREDIT
BANK023,DELHIVERY LOGISTICS PRIVATE LIMITED PAYMENT REF023,24000,INR,2026-08-13,REF023,CREDIT
BANK024,URBAN COMPANY TECHNOLOGIES LTD PAYMENT REF024,150000,INR,2026-08-13,REF024,CREDIT
BANK025,RAZORPAY SOFTWARE PRIVATE LIMITED PAYMENT REF025,115000,INR,2026-08-09,REF025,CREDIT
BANK026,FRESHWORKS TECHNOLOGIES PVT LTD PAYMENT REF026,150000,INR,2026-08-07,REF026,CREDIT
BANK027,ZOHO CORPORATION PRIVATE LIMITED PAYMENT REF027,12500,INR,2026-08-05,REF027,CREDIT
BANK028,PINE LABS PRIVATE LIMITED PAYMENT REF028,89000,INR,2026-08-06,REF028,CREDIT
BANK029,POLICYBAZAAR INSURANCE BROKERS LTD PAYMENT REF029,225000,INR,2026-08-18,REF029,CREDIT
BANK030,PHONEPE INDIA PRIVATE LIMITED PAYMENT REF030,48000,INR,2026-08-13,REF030,CREDIT
BANK031,MAKEMYTRIP INDIA PRIVATE LIMITED PAYMENT REF031,115000,INR,2026-08-05,REF031,CREDIT
BANK032,OLA ANI TECHNOLOGIES PRIVATE LIMITED PAYMENT REF032,48000,INR,2026-08-15,REF032,CREDIT
BANK033,PAYU PAYMENTS PRIVATE LIMITED PAYMENT REF033,62000,INR,2026-08-15,REF033,CREDIT
BANK034,CRED DREAMPLUG TECHNOLOGIES LTD PAYMENT REF034,225000,INR,2026-08-09,REF034,CREDIT
BANK035,GROWW NEXTBILLION TECHNOLOGY LTD PAYMENT REF035,35000,INR,2026-08-11,REF035,CREDIT
BANK036,ZERODHA BROKING LIMITED PAYMENT REF036,12500,INR,2026-08-15,REF036,CREDIT
BANK037,BIGBASKET SUPERMARKET GROCERY LTD PAYMENT REF037,35000,INR,2026-08-16,REF037,CREDIT
BANK038,BLINKIT COMMERCE PRIVATE LIMITED PAYMENT REF038,225000,INR,2026-08-04,REF038,CREDIT
BANK039,DUNZO DIGITAL PRIVATE LIMITED PAYMENT REF039,225000,INR,2026-08-11,REF039,CREDIT
BANK040,MEESHO FASHNEAR TECHNOLOGIES LTD PAYMENT REF040,150000,INR,2026-08-15,REF040,CREDIT
BANK041,CARS24 SERVICES PRIVATE LIMITED PAYMENT REF041,24000,INR,2026-08-14,REF041,CREDIT
BANK042,SPINNY VALUEDRIVE TECHNOLOGIES LTD PAYMENT REF042,75000,INR,2026-08-04,REF042,CREDIT
