invoice_id,expected_bank_transaction_id,expected_gateway_payment_id,expected_status,scenario_type
INV001,BANK001,PAY001,MATCHED,exact_match
INV002,BANK002,PAY002,MATCHED,exact_match
INV003,BANK003,PAY003,MATCHED,exact_match
INV004,BANK004,PAY004,MATCHED,exact_match
INV005,BANK005,PAY005,MATCHED,exact_match
INV006,BANK006,PAY006,MATCHED,exact_match
INV007,BANK007,PAY007,MATCHED,exact_match
INV008,BANK008,PAY008,MATCHED,exact_match
INV009,BANK009,PAY009,MATCHED,exact_match
INV010,BANK010,PAY010,MATCHED,exact_match
INV011,BANK011,PAY011,MATCHED,exact_match
INV012,BANK012,PAY012,MATCHED,exact_match
INV013,BANK013,PAY013,MATCHED,exact_match
INV014,BANK014,PAY014,MATCHED,exact_match
INV015,BANK015,PAY015,MATCHED,exact_match
INV016,BANK016,PAY016,MATCHED,exact_match
INV017,BANK017,PAY017,MATCHED,exact_match
INV018,BANK018,PAY018,MATCHED,exact_match
INV019,BANK019,PAY019,MATCHED,exact_match
INV020,BANK020,PAY020,MATCHED,exact_match
INV021,BANK021,PAY021,MATCHED,exact_match
INV022,BANK022,PAY022,MATCHED,exact_match
INV023,BANK023,PAY023,MATCHED,exact_match
INV024,BANK024,PAY024,MATCHED,exact_match
INV025,BANK025,PAY025,MATCHED,exact_match
INV026,BANK026,PAY026,MATCHED,exact_match
INV027,BANK027,PAY027,MATCHED,exact_match
INV028,BANK028,PAY028,MATCHED,exact_match
INV029,BANK029,PAY029,MATCHED,exact_match
INV030,BANK030,PAY030,MATCHED,exact_match
INV031,BANK031,PAY031,MATCHED,exact_match
INV032,BANK032,PAY032,MATCHED,exact_match
INV033,BANK033,PAY033,MATCHED,exact_match
INV034,BANK034,PAY034,MATCHED,exact_match
INV035,BANK035,PAY035,MATCHED,exact_match
INV036,BANK036,PAY036,MATCHED,exact_match
INV037,BANK037,PAY037,MATCHED,exact_match
INV038,BANK038,PAY038,MATCHED,exact_match
INV039,BANK039,PAY039,MATCHED,exact_match
INV040,BANK040,PAY040,MATCHED,exact_match
INV041,BANK041,PAY041,MATCHED,exact_match
INV042,BANK042,PAY042,MATCHED,exact_match
INV043,BANK043,PAY043,MATCHED,exact_match
INV044,BANK044,PAY044,MATCHED,exact_match
INV045,BANK045,PAY045,MATCHED,exact_match
INV046,BANK046,PAY046,MATCHED,exact_match
INV047,BANK047,PAY047,MATCHED,exact_match
INV048,BANK048,PAY048,MATCHED,exact_match
INV049,BANK049,PAY049,MATCHED,exact_match
INV050,BANK050,PAY050,MATCHED,exact_match
INV051,BANK051,PAY051,MATCHED,exact_match
INV052,BANK052,PAY052,MATCHED,exact_match
INV053,BANK053,PAY053,MATCHED,exact_match
INV054,BANK054,PAY054,MATCHED,exact_match
INV055,BANK055,PAY055,MATCHED,exact_match
INV056,BANK056,PAY056,MATCHED,exact_match
INV057,BANK057,PAY057,MATCHED,exact_match
INV058,BANK058,PAY058,MATCHED,exact_match
INV059,BANK059,PAY059,MATCHED,exact_match
INV060,BANK060,PAY060,MATCHED,exact_match
INV061,BANK061,PAY061,MATCHED,exact_match
INV062,BANK062,PAY062,MATCHED,exact_match
INV063,BANK063,PAY063,MATCHED,exact_match
INV064,BANK064,PAY064,MATCHED,exact_match
INV065,BANK065,PAY065,MATCHED,exact_match
INV066,BANK066,PAY066,MATCHED,customer_name_variation
INV067,BANK067,PAY067,MATCHED,customer_name_variation
INV068,BANK068,PAY068,MATCHED,customer_name_variation
INV069,BANK069,PAY069,MATCHED,customer_name_variation
INV070,BANK070,PAY070,MATCHED,customer_name_variation
INV071,BANK071,PAY071,MATCHED,customer_name_variation
INV072,BANK072,PAY072,MATCHED,customer_name_variation
INV073,BANK073,PAY073,MATCHED,customer_name_variation
INV074,BANK074,PAY074,MATCHED,customer_name_variation
INV075,BANK075,PAY075,MATCHED,customer_name_variation
INV076,BANK076,PAY076,MATCHED,customer_name_variation
INV077,BANK077,PAY077,MATCHED,customer_name_variation
INV078,BANK078,PAY078,MATCHED,customer_name_variation
INV079,BANK079,PAY079,MATCHED,customer_name_variation
INV080,BANK080,PAY080,MATCHED,customer_name_variation
INV081,BANK081,PAY081,MATCHED,payment_date_variation
INV082,BANK082,PAY082,MATCHED,payment_date_variation
INV083,BANK083,PAY083,MATCHED,payment_date_variation
INV084,BANK084,PAY084,MATCHED,payment_date_variation
INV085,BANK085,PAY085,MATCHED,payment_date_variation
INV086,BANK086,PAY086,MATCHED,payment_date_variation
INV087,BANK087,PAY087,MATCHED,payment_date_variation
INV088,BANK088,PAY088,MATCHED,payment_date_variation
INV089,BANK089,PAY089,MATCHED,payment_date_variation
INV090,BANK090,PAY090,MATCHED,payment_date_variation
INV091,BANK091,PAY091,AMOUNT_MISMATCH,amount_mismatch
INV092,BANK092,PAY092,AMOUNT_MISMATCH,amount_mismatch
INV093,BANK093,PAY093,AMOUNT_MISMATCH,amount_mismatch
INV094,BANK094,PAY094,AMOUNT_MISMATCH,amount_mismatch
INV095,BANK095,PAY095,AMOUNT_MISMATCH,amount_mismatch
INV096,BANK096,PAY096,AMOUNT_MISMATCH,amount_mismatch
INV097,BANK097,PAY097,AMOUNT_MISMATCH,amount_mismatch
INV098,BANK098,PAY098,AMOUNT_MISMATCH,amount_mismatch
INV099,"BANK099,BANK100",PAY099,DUPLICATE_PAYMENT,duplicate_payment
INV100,"BANK101,BANK102",PAY100,DUPLICATE_PAYMENT,duplicate_payment
INV101,"BANK103,BANK104",PAY101,DUPLICATE_PAYMENT,duplicate_payment
INV102,"BANK105,BANK106",PAY102,DUPLICATE_PAYMENT,duplicate_payment
INV103,"BANK107,BANK108",PAY103,DUPLICATE_PAYMENT,duplicate_payment
INV104,NONE,NONE,MISSING_PAYMENT,missing_payment
INV105,NONE,NONE,MISSING_PAYMENT,missing_payment
INV106,NONE,NONE,MISSING_PAYMENT,missing_payment
INV107,BANK109,NONE,MISSING_PAYMENT,missing_payment
INV108,BANK110,NONE,MISSING_PAYMENT,missing_payment
INV109,BANK111,PAY104,FEE_MISMATCH,gateway_fee
INV110,BANK112,PAY105,FEE_MISMATCH,gateway_fee
INV111,BANK113,PAY106,FEE_MISMATCH,gateway_fee
INV112,BANK114,PAY107,FEE_MISMATCH,gateway_fee
INV113,BANK115,PAY108,AMBIGUOUS_MATCH,ambiguous_match
INV114,BANK116,PAY109,AMBIGUOUS_MATCH,ambiguous_match
INV115,BANK117,PAY110,AMBIGUOUS_MATCH,ambiguous_match
INV116,BANK118,PAY111,AMBIGUOUS_MATCH,ambiguous_match
INV117,BANK119,PAY112,REFERENCE_MISMATCH,reference_mismatch
INV118,BANK120,PAY113,REFERENCE_MISMATCH,reference_mismatch
INV119,BANK121,PAY114,CURRENCY_MISMATCH,currency_mismatch
INV120,BANK122,PAY115,CURRENCY_MISMATCH,currency_mismatch
