invoice_id,customer_id,customer_name,invoice_number,amount,currency,invoice_date,due_date,reference,status
INV001,CUST001,ABC Private Limited,2026-001,24000,INR,2026-08-01,2026-08-15,REF001,PAID
INV002,CUST002,Ravi Enterprises Private Limited,2026-002,48000,INR,2026-08-04,2026-08-18,REF002,PAID
INV003,CUST003,Apex Global Technologies Pvt Ltd,2026-003,24000,INR,2026-08-11,2026-08-25,REF003,PAID
INV004,CUST004,Zenith Logistics Solutions Limited,2026-004,24000,INR,2026-08-10,2026-08-24,REF004,PAID
INV005,CUST005,Tata Consultancy Services Limited,2026-005,12500,INR,2026-08-02,2026-08-16,REF005,PAID
INV006,CUST006,Infosys BPM Private Limited,2026-006,150000,INR,2026-08-10,2026-08-24,REF006,PAID
INV007,CUST007,Reliance Retail Ventures Limited,2026-007,48000,INR,2026-08-12,2026-08-26,REF007,PAID
INV008,CUST008,Mahindra Logistics Solutions Ltd,2026-008,150000,INR,2026-08-07,2026-08-21,REF008,PAID
INV009,CUST009,Larsen and Toubro Infotech Ltd,2026-009,225000,INR,2026-08-05,2026-08-19,REF009,PAID
INV010,CUST010,Wipro Digital Solutions Pvt Ltd,2026-010,89000,INR,2026-08-06,2026-08-20,REF010,PAID
INV011,CUST011,HCL Technologies India Pvt Ltd,2026-011,48000,INR,2026-08-13,2026-08-27,REF011,PAID
INV012,CUST012,Bharat Heavy Electricals Limited,2026-012,24000,INR,2026-08-07,2026-08-21,REF012,PAID
INV013,CUST013,Sun Pharmaceutical Industries Ltd,2026-013,75000,INR,2026-08-10,2026-08-24,REF013,PAID
INV014,CUST014,Godrej Consumer Products Limited,2026-014,115000,INR,2026-08-09,2026-08-23,REF014,PAID
INV015,CUST015,Adani Ports and SEZ Private Limited,2026-015,24000,INR,2026-08-09,2026-08-23,REF015,PAID
INV016,CUST016,Bajaj Finserv Direct Limited,2026-016,225000,INR,2026-08-15,2026-08-29,REF016,PAID
INV017,CUST017,Tech Mahindra Solutions Limited,2026-017,48000,INR,2026-08-12,2026-08-26,REF017,PAID
INV018,CUST018,Zomato Media Private Limited,2026-018,48000,INR,2026-08-13,2026-08-27,REF018,PAID
INV019,CUST019,Swiggy Bundl Technologies Pvt Ltd,2026-019,48000,INR,2026-08-14,2026-08-28,REF019,PAID
INV020,CUST020,Flipkart Internet Private Limited,2026-020,62000,INR,2026-08-08,2026-08-22,REF020,PAID
INV021,CUST021,One97 Communications Limited,2026-021,35000,INR,2026-08-06,2026-08-20,REF021,PAID
INV022,CUST022,Nykaa E-Retail Private Limited,2026-022,62000,INR,2026-08-12,2026-08-26,REF022,PAID
INV023,CUST023,Delhivery Logistics Private Limited,2026-023,24000,INR,2026-08-10,2026-08-24,REF023,PAID
INV024,CUST024,Urban Company Technologies Ltd,2026-024,150000,INR,2026-08-12,2026-08-26,REF024,PAID
